state,county,DemRepRatio
georgia,columbia,0.371892459890307
,santa fe,0.773369282904989
,san juan,0.439299870714763
texas,wilson,0.380989502591133
georgia,walton,0.245392233154601
pennsylvania,chester,0.191743617599131
missouri,jefferson,0.486252586841484
florida,charlotte,0.366549388399316
georgia,appling,0.214208308248044
missouri,polk,0.401649519598674
south carolina,cherokee,0.287308095230498
iowa,marshall,0.191784766957182
iowa,clinton,0.235749833256375
indiana,gibson,0.261960962324103
ohio,erie,0.441151993543994
new york,montgomery,0.661548508508044
illinois,coles,0.364956568946797
illinois,winnebago,0.498752150867497
illinois,calhoun,0.29521630811175
pennsylvania,crawford,0.260331371073636
florida,citrus,0.293063908961101
maryland,talbot,0.516422356353375
texas,orange,0.626646682863217
north carolina,scotland,0.490210792004912
kentucky,boone,0.330716317055978
iowa,clayton,0.857910485313014
north carolina,pasquotank,0.501581471278441
,dona ana,0.593828551616538
ohio,ross,0.321516674280493
north carolina,buncombe,0.607291397937418
north carolina,haywood,0.395910737774906
florida,hernando,0.347620238856306
california,butte,0.135251798561151
ohio,scioto,0.286534759695794
,mississippi,0.384511557280243
missouri,adair,0.198938611589215
texas,rusk,0.323771546179573
oklahoma,rogers,0.21983035304906
wisconsin,shawano,0.31971843615495
maryland,howard,0.716446611515915
michigan,st clair,0.449089352658146
georgia,baldwin,0.267253200174375
oklahoma,garfield,0.217902317077721
,hall,0.280613446037599
missouri,miller,0.263119072708114
georgia,miller,0.263119072708114
virginia,henry,0.485492029030163
missouri,warren,0.353587429863496
north carolina,brunswick,0.39005243692631
tennessee,cumberland,0.504658832570203
indiana,scott,0.144264955943732
kentucky,pulaski,0.575706029646378
new york,delaware,0.433723072562358
ohio,crawford,0.260331371073636
,whitman,0.552269023751913
,kittitas,0.447426153725613
north carolina,mcdowell,0.256746643187321
,stutsman,0.276732161323683
wisconsin,st croix,0.418675188214266
wisconsin,iowa,0.56984785615491
,sandoval,0.542897271268058
colorado,lincoln,0.273723096494823
,twin falls,0.266124461573339
,putnam,0.267147074144817
alabama,cullman,0.108274094491997
new york,jefferson,0.486252586841484
